exp_id,track,seed,policy_source,loss_type,max_steps_dpo,beta,primary_metric,num_eval,align_rate,base_metric,sft_metric,dpo_metric,dpo_loss_final,dpo_reward_margin_final,dpo_logps_rejected_final,dpo_logps_chosen_final,dpo_accuracy_final,dpo_selected_ckpt
v2_smoke_quick_20260506_182500,summarization,42,onpolicy,ipo,20,0.3,rougeL_f1,25,1.0,0.2934,0.3195,0.3188,0.5951,0.21963046491146088,-94.78773498535156,-33.821292877197266,0.8897637724876404,outputs/v2_smoke_quick_20260506_182500/dpo_beta_0p3_best
v2_smoke_quick_20260506_203109,summarization,42,onpolicy,ipo,20,0.3,rougeL_f1,25,1.0,0.2934,0.3136,0.3152,2.6817,0.0060415384359657764,-1.6457043886184692,-0.7920582294464111,0.9807692170143127,outputs/v2_smoke_quick_20260506_203109/dpo_beta_0p3_best
v2_sum_baseline_pairs_nojudge_20260507_024739,summarization,42,baseline,ipo,40,0.3,rougeL_f1,25,1.0,0.2934,0.3047,0.2964,2.7113,0.005874997470527887,-1.2370049953460693,-1.4750434160232544,0.9078947305679321,outputs/v2_sum_baseline_pairs_nojudge_20260507_024739/dpo_beta_0p3_best
v2_sum_baseline_pairs_seed1337_20260509_001802,summarization,1337,baseline,ipo,40,0.3,rougeL_f1,25,1.0,0.2934,0.302,0.2955,2.7016,0.00731347780674696,-1.1484581232070923,-1.4264215230941772,0.9379310607910156,outputs/v2_sum_baseline_pairs_seed1337_20260509_001802/dpo_beta_0p3_best
v2_sum_beta0p05_sweep_20260508_232137,summarization,42,onpolicy,ipo,40,0.05,rougeL_f1,25,1.0,0.2934,0.295,0.2993,99.7071,0.0007360634044744074,-1.535934567451477,-0.7436831593513489,0.9139072895050049,outputs/v2_sum_beta0p05_sweep_20260508_232137/dpo_beta_0p05_best
v2_sum_beta0p1_sweep_20260507_162719,summarization,42,onpolicy,ipo,40,0.1,rougeL_f1,25,1.0,0.2934,0.295,0.3001,24.8589,0.001449962961487472,-1.536544680595398,-0.7445151209831238,0.9205297827720642,outputs/v2_sum_beta0p1_sweep_20260507_162719/dpo_beta_0p1_best
v2_sum_beta0p5_sweep_20260508_170941,summarization,42,onpolicy,ipo,40,0.5,rougeL_f1,25,1.0,0.2934,0.295,0.2989,0.9722,0.007165816612541676,-1.536092758178711,-0.7442312836647034,0.9072847962379456,outputs/v2_sum_beta0p5_sweep_20260508_170941/dpo_beta_0p5_best
v2_sum_beta0p7_sweep_20260508_234024,summarization,42,onpolicy,ipo,40,0.7,rougeL_f1,25,1.0,0.2934,0.295,0.3042,0.4899,0.010173213668167591,-1.5360372066497803,-0.7439741492271423,0.9271523356437683,outputs/v2_sum_beta0p7_sweep_20260508_234024/dpo_beta_0p7_best
v2_sum_sigmoid_onpolicy_20260508_235858,summarization,42,onpolicy,sigmoid,40,0.3,rougeL_f1,25,1.0,0.2934,0.295,0.2989,0.5569,0.32762035727500916,-92.36700439453125,-34.008541107177734,0.9205297827720642,outputs/v2_sum_sigmoid_onpolicy_20260508_235858/dpo_beta_0p3_best
v2_track_code_mbpp_20260507_164026,code,42,onpolicy,ipo,60,0.3,test_pass_rate,40,1.0,0.0167,0.0083,0.0083,2.0483,0.08163376152515411,-1.2466785907745361,-0.9452020525932312,0.75,outputs/v2_track_code_mbpp_20260507_164026/dpo_beta_0p3_best
v2_track_code_mbpp_seed1337_20260509_044029,code,1337,onpolicy,ipo,60,0.3,test_pass_rate,40,1.0,0.0167,0.0,0.0,1.2583,0.1660362184047699,-1.178376317024231,-0.6736291646957397,1.0,outputs/v2_track_code_mbpp_seed1337_20260509_044029/dpo_beta_0p3_best
v2_track_dialog_nojudge_20260507_000348,dialog,42,onpolicy,ipo,40,0.3,dialog_heuristic,25,1.0,0.5707,0.5353,0.5591,2.7211,0.005193188786506653,-1.6303417682647705,-0.7549102902412415,0.9548386931419373,outputs/v2_track_dialog_nojudge_20260507_000348/dpo_beta_0p3_best
v2_track_dialog_nojudge_seed1337_reuse_20260509_022124,dialog,1337,onpolicy,ipo,40,0.3,dialog_heuristic,25,1.0,0.5707,0.5379,0.5521,2.7255,0.004761758726090193,-1.5579421520233154,-0.766295850276947,0.915032684803009,outputs/v2_track_dialog_nojudge_seed1337_reuse_20260509_022124/dpo_beta_0p3_best
v2_track_summarization_nojudge_20260506_210741,summarization,42,onpolicy,ipo,40,0.3,rougeL_f1,25,1.0,0.2934,0.295,0.3092,2.7307,0.004353399388492107,-1.5363661050796509,-0.7443247437477112,0.9470198750495911,outputs/v2_track_summarization_nojudge_20260506_210741/dpo_beta_0p3_best
v2_track_summarization_seed1337_nojudge_20260507_043001,summarization,1337,onpolicy,ipo,40,0.3,rougeL_f1,25,1.0,0.2934,0.302,0.3177,2.7243,0.004777350928634405,-1.5468099117279053,-0.8194799423217773,0.8741722106933594,outputs/v2_track_summarization_seed1337_nojudge_20260507_043001/dpo_beta_0p3_best
v2_track_summarization_seed2024_nojudge_20260508_174815,summarization,2024,onpolicy,ipo,40,0.3,rougeL_f1,25,1.0,0.2934,0.3014,0.3085,2.7202,0.005255287513136864,-1.5797775983810425,-0.7626181840896606,0.896774172782898,outputs/v2_track_summarization_seed2024_nojudge_20260508_174815/dpo_beta_0p3_best
