track,exp_id,beta,model,metric,raw,clean,delta,align_clean
dialog,benchmark_dialog_base_20260503_182808,0p05,base,dialog_heuristic,0.78,0.5752,-0.2048,1.0
dialog,benchmark_dialog_base_20260503_182808,0p05,sft,dialog_heuristic,0.684,0.5652,-0.1188,1.0
dialog,benchmark_dialog_base_20260503_182808,0p05,dpo,dialog_heuristic,0.592,0.5309,-0.0611,1.0
dialog,benchmark_dialog_base_20260503_182808,0p1,base,dialog_heuristic,0.78,0.5752,-0.2048,1.0
dialog,benchmark_dialog_base_20260503_182808,0p1,sft,dialog_heuristic,0.684,0.5652,-0.1188,1.0
dialog,benchmark_dialog_base_20260503_182808,0p1,dpo,dialog_heuristic,0.616,0.5589,-0.0571,1.0
dialog,benchmark_dialog_base_20260503_182808,0p2,base,dialog_heuristic,0.78,0.5752,-0.2048,1.0
dialog,benchmark_dialog_base_20260503_182808,0p2,sft,dialog_heuristic,0.684,0.5652,-0.1188,1.0
dialog,benchmark_dialog_base_20260503_182808,0p2,dpo,dialog_heuristic,0.664,0.5717,-0.0923,1.0
dialog,benchmark_dialog_base_20260503_182808,0p5,base,dialog_heuristic,0.78,0.5752,-0.2048,1.0
dialog,benchmark_dialog_base_20260503_182808,0p5,sft,dialog_heuristic,0.684,0.5652,-0.1188,1.0
dialog,benchmark_dialog_base_20260503_182808,0p5,dpo,dialog_heuristic,0.664,0.5681,-0.0959,1.0
summarization,benchmark_summarization_base_20260503_232644,0p05,base,rougeL_f1,0.1881,0.2939,0.1058,1.0
summarization,benchmark_summarization_base_20260503_232644,0p05,sft,rougeL_f1,0.3103,0.3103,0.0,1.0
summarization,benchmark_summarization_base_20260503_232644,0p05,dpo,rougeL_f1,0.2199,0.2199,0.0,1.0
summarization,benchmark_summarization_base_20260503_232644,0p1,base,rougeL_f1,0.1881,0.2939,0.1058,1.0
summarization,benchmark_summarization_base_20260503_232644,0p1,sft,rougeL_f1,0.3103,0.3103,0.0,1.0
summarization,benchmark_summarization_base_20260503_232644,0p1,dpo,rougeL_f1,0.2228,0.2228,0.0,1.0
summarization,benchmark_summarization_base_20260503_232644,0p2,base,rougeL_f1,0.1881,0.2939,0.1058,1.0
summarization,benchmark_summarization_base_20260503_232644,0p2,sft,rougeL_f1,0.3103,0.3103,0.0,1.0
summarization,benchmark_summarization_base_20260503_232644,0p2,dpo,rougeL_f1,0.2267,0.2267,0.0,1.0
summarization,benchmark_summarization_base_20260503_232644,0p5,base,rougeL_f1,0.1881,0.2939,0.1058,1.0
summarization,benchmark_summarization_base_20260503_232644,0p5,sft,rougeL_f1,0.3103,0.3103,0.0,1.0
summarization,benchmark_summarization_base_20260503_232644,0p5,dpo,rougeL_f1,0.2549,0.2549,0.0,1.0
code,benchmark_mbpp_code_base_20260504_042309,0p1,base,test_pass_rate,0.0167,0.0167,0.0,1.0
code,benchmark_mbpp_code_base_20260504_042309,0p1,sft,test_pass_rate,0.0667,0.0667,0.0,1.0
code,benchmark_mbpp_code_base_20260504_042309,0p1,dpo,test_pass_rate,0.025,0.025,0.0,1.0
code,benchmark_mbpp_code_base_20260504_042309,0p2,base,test_pass_rate,0.0167,0.0167,0.0,1.0
code,benchmark_mbpp_code_base_20260504_042309,0p2,sft,test_pass_rate,0.0667,0.0667,0.0,1.0
code,benchmark_mbpp_code_base_20260504_042309,0p2,dpo,test_pass_rate,0.025,0.025,0.0,1.0
